,title,description,rating,genre,year,length,country
10,Молодая жена,"Маня и Володя полюбили друг друга еще в седьмом классе сельской школы, а когда парень ушел в армию, девушка ждала его. А Володя вернулся и… привез на свадьбу сестры новую подружку. От нанесенной обиды Маня назло всему свету и самой себе согласилась выйти замуж за Алексея, вдовца средних лет, имеющего маленькую дочь. 

Работящий и хозяйственный мужчина, казалось, мог бы стать для своей жены «каменной стеной», но трудно оказалось Мане в доме мужа, который пытался отгородить ее от жизни, от людей. И Маня наперекор его воле уехала в город сдавать вступительные экзамены в заочный техникум...",7.2,Драма,1978,"99 мин.
                                                    ",СССР
11,Мистер Икс,"В мире этой благородной дамы циркачей считали за людей третьего сорта, и только подлость одного негодяя, решившего скомпрометировать ее, позволила шуту приблизиться к красавице без маски, но под видом, увы, другого человека, знатного графа.",7.2,Мелодрама,1958,"95 мин.
                                                    ",СССР
12,Большая семья,"История о трех поколениях семьи потомственных рабочих-судостроителей. Самым сложным характером наделен Алексей: ушел из семьи, потерял профессию, любимую девушку, но все же нашел силы вернуть свое счастье.",7.2,Драма,1954,"109 мин.
                                                    ",СССР
13,Сияющая звезда,"Корейская анимация о мечте и дружбе. Холодная Гера талантлива и красива, ей восхищаются и ученики, и преподаватели элитной школы. Но девушка одинока, ведь ей трудно доверять кому-то и делиться своими чувствами. Юная танцовщица мечтает победить в самом престижном конкурсе и стать Лунной королевой, как ее мама. Труд помогает ей в достижении цели, но характер ранит тех, кто желает добра. Героине предстоит сложный выбор: блестящая карьера или друзья, которых у нее никогда не было.",7.2,Мультфильм,2019,"78 мин.
                                                    ",Южная Корея
14,Легенда о пианисте,"Сказочная история в декорациях начала XX века и музыкой великого Эннио Морриконе. На океаническом лайнере находят маленького мальчика, который остаётся жить на корабле и оказывается талантливым пианистом, не готовым когда-либо сойти на землю.",7.2,Драма,1998,"121 мин.
                                                    ",Италия
15,Чебурашка. Секрет праздника,Празднование Нового Года для Чебурашки и Гены оказывается под угрозой срыва. Бесследно исчез главный атрибут праздника — новогодняя ёлка!  Удастся ли Чебурашке и Гене вернуть ёлку и встретить Новый год с песней и в хорошем настроении?,7.2,Комедии,2020,"8 мин.
                                                    ",Россия
16,Умка на елке,"В преддверии новогодних праздников Умка хочет встретиться с близким другом — человеком. Мальчик живет далеко, так что медвежонку предстоит длинный путь. Начнется он с полета на вертолете, который малыш называет железной птицей. Затем Умка впервые побывает в порту и познакомится с забавным роботом-упаковщиком, а после окажется на детском празднике, где увидит большую нарядную елку. Но удастся ли Умке встретиться с мальчиком и вернуться к маме, чтобы она спела ему колыбельную?",7.2,Мультфильм,2019,"8 мин.
                                                    ",Россия
17,Паразиты,"Жизнь у семьи Ким всегда была не сахар: сырой подвал вместо квартиры, постоянная нехватка денег, ворованный интернет и десятки сомнительных подработок. Но всё начинает стремительным образом меняться, когда друг предлагает сыну Кимов поработать вместо него репетитором в доме богатой семьи Пак.",7.2,Драма,2019,"126 мин.
                                                    ",Республика Корея
18,Планета Ка-Пэкс,"Странный человек в черных очках поступает в Манхэттенский психиатрический институт. Он зовет себя Протом и утверждает, что его родина — далекая планета Ка-Пэкс, откуда он перенесся на Землю и куда снова вернется. Его личность невозможно установить и самые опытные доктора не могут поставить ему диагноз... И через некоторое время некоторые из них задаются вопросом: а что, если в словах Прота есть доля правды?",7.2,Фантастика,2001,"116 мин.
                                                    ",Германия
19,Осенние сны,"В белорусской деревеньке Вешки осталось только трое стариков. Добрая Ганна потеряла на войне мужа и троих детей. Правда, остался еще один сын, но жизнь у него не сложилась - сидит в тюрьме. От сварливого Микиты дети давно сбежали в город. Трудолюбивый Василь тоже давно живет один. Единственный сын лишь изредка шлет отцу письма из далеких краев. У мужиков на все на свете прямо противоположные точки зрения. Поэтому они постоянно ссорятся и ругаются, а Ганна только и успевает их разнимать...",7.2,Драма,1987,"81 мин.
                                                    ",СССР
20,Мини-диско. Танцуют все!,"Лулу и Тео впервые вместе на отдыхе. Они играют в боулинг, катаются на водных горках и едут на конкурс танцев, который ежегодно проводит известная тетя Рита. Но путь к ее дому оборачивается настоящей полосой препятствий. У подростков появляется соперник, который хочет, чтобы они опоздали на вечеринку. Из-за ловушки друзья вынуждены идти через лес, но где-то там бродит лев, сбежавший из зоопарка. Захватывающее приключение начинается!",7.2,Комедии,2022,"84 мин.
                                                    ",Нидерланды
21,Шинель,"Одинокий маленький человек делается заложником мечты о вещи, способной, по его мнению, полностью изменить его жалкое существование. Но сможет ли новая шинель сделать его счастливым.",7.2,Драма,1959,"75 мин.
                                                    ",СССР
22,Родная кровь,"Вторая мировая война. Дождливым, ненастным днём танкист Владимир, возвращаясь из госпиталя на побывку, на речной переправе знакомится с паромщицей Соней, в одиночку поднимающей троих детей. Случайное знакомство перерастает в глубокое чувство.",7.2,Драма,1963,"83 мин.
                                                    ",СССР
23,Мы смерти смотрели в лицо,"В основе сюжета - подлинные факты. В марте 1942 бывший балетмейстер, а теперь - лейтенант Обрант (по фильму - Корбут) получил задание политотдела создать танцевальную группу. В блокадном Ленинграде он разыскал бывших своих учеников и привез на Ленинградский фронт, а через несколько дней юные танцоры дали свой первый концерт перед бойцами, вернувшимися с передовой...",7.2,Драма,1980,"74 мин.
                                                    ",СССР
24,"Где это видано, где это слыхано","Дениске и Мишке поручили выступить на школьном концерте с сатирическими куплетами. Артистический дебют двух друзей не удался, но зрители все равно смеялись до слез...",7.2,Комедии,1973,"26 мин.
                                                    ",СССР
25,Сильва,"По мотивам либретто Л. Штейна и Б. Йенбаха. Будущий князь Воляпюк, а ныне просто самолюбивый молодой офицер по имени Эдвин и певица Сильва Вареску полюбили друг друга. Эдвин даже готов пойти наперекор воле знатных родителей и жениться - несмотря на неизбежный скандал.

Но... В оперетте всегда появляется «но», и всегда не одно. И тем не менее цепь недоразумений, радостей, трагедий и разочарований должна прийти к счастливому концу, а искрящаяся музыка Имре Кальмана и блистательная игра советских актеров превращают путь к этому концу в настоящий праздник.",7.2,Комедии,1981,"148 мин.
                                                    ",СССР
26,Моонзунд,"События картины разворачиваются на Балтике в 1915-1917 годах. Герои фильма - офицеры и рядовые матросы Балтийского флота. Старший лейтенант Артеньев - храбрый, волевой офицер, человек чести. Он любит, и любим, но его любимая - Клара - работает на контрразведку, и быть вместе они не могут. 

Не поддерживая бунтарских настроений матросов на своем корабле, Артеньев берет на себя командование батареей, защищающей самое опасное место в обороне против немцев. Он ищет смерти...",7.2,Драма,1987,"142 мин.
                                                    ",СССР
27,Последний дюйм,"Пожилой летчик Бен Энсли, нуждающийся в средствах, соглашается для  телевидения сделать опасные подводные съемки. Вместе с 12-летним сыном Дэви он летит на легком спортивном самолете в Акулью бухту. В результате несчастного случая Бен не может управлять самолетом, помощи ждать неоткуда, и только Дэви может их спасти.",7.2,Драма,1958,"90 мин.
                                                    ",СССР
28,Проверка на дорогах,"Зима 1942 года. В одной из северо-западных областей России, оккупированной фашистами, действует партизанский отряд лейтенанта Ивана Локоткова, в прошлом - сельского милиционера. Отряд кормить нечем: в округе - одни сожженные деревни и каратели.

Командир принимает решение захватить фашистский эшелон с продовольствием на узловой станции, где охраняется каждый метр. Провести операцию берется раскаявшийся полицай Лазарев, которого немцы знают в лицо. Но можно ли ему довериться?..",7.2,Драма,1985,"97 мин.
                                                    ",СССР
29,Полосатый рейс,"На советский теплоход погрузили опасный груз — тигров и львов, а сопровождать приставили буфетчика. Во время плавания маленькая обезьянка, подаренная покупателю, открывает клетки. Хищники выходят на свободу, вся команда в ужасе разбегается. И только племяннице капитана удается спасти положение, укротив диких зверей.",7.2,Приключения,1961,"83 мин.
                                                    ",СССР
30,Дорогой мой человек,"Врач Владимир Устименко — человек долга и чести, предан делу, которому служит, и предан одной-единственной любви, которую проносит через всю жизнь: любви к Варе Степановой, взбалмошной девчонке, мечтающей стать великой актрисой, но ставшей геологом. Война жестоко вмешается в судьбы героев и ещё больше напутает в их, и без того хрупких, отношениях. После долгой и неожиданной разлуки герои впервые встретятся во фронтовом госпитале, где военврач Устименко будет оперировать неприходящую в сознание «трудную» пациентку — Варю Степанову…",7.2,Драма,1958,"108 мин.
                                                    ",СССР
31,Двадцать дней без войны,"Конец 1942 года. Фронтовой журналист Лопатин приезжает в Ташкент в 20-дневный отпуск за Сталинград. Ему, оглушенному и ослепленному огнем, мирная жизнь кажется странной и непривычной: размокшие саманные домики, снег пополам с грязью, хлебные карточки, судорожно зажатые в кулаке, сводки от Советского Информбюро, убогий быт, похоронки и … театры, которые продолжали работу в тылу.

За 20 дней отпуска без войны Лопатин успевает побывать на Ташкентской киностудии, где снимается фильм по его военным очеркам, встретить новый 1943 год в мирной компании и пережить яркую любовь.",7.2,Драма,1976,"101 мин.
                                                    ",СССР
32,Двенадцатая ночь,"Застигнутый бурей корабль разбился и затонул. Плывшие на нём брат и сестра были спасены, но оказались разлучены, считая друг друга погибшими. Сестра, переодевшись юношей, нанимается в слуги к герцогу, влюбленному в местную красавицу, и после этого следует целый каскад блистательных недоразумений.",7.2,Драма,1955,"86 мин.
                                                    ",СССР
33,Влюблен по собственному желанию,"Бывший спортсмен, а теперь опустившийся от беспросветных кутежей бездельник звонит случайной знакомой в надежде на то, что она поможет ему разрешить очередную проблему с «трешкой». Но знакомая оказалась весьма серьезной библиотекаршей и всегда готова помочь тем, кто в ней нуждается.

Зная о своей непривлекательности, она также знает и то, что если поставить цель, то можно всего добиться. С помощью аутотренинга, например, можно даже влюбиться друг в друга. Главное, чтобы этот «другой» хотя бы был...",7.2,Драма,1982,"89 мин.
                                                    ",СССР
34,Анюта,"По рассказу А.П. Чехова «Анна на шее» с Екатериной Максимовой в роли Анюты. Она создает пленительный образ красоты - живой и очень хрупкой. Ее «Анюта» - просто слабая женщина, которая тянется к празднику, ей хочется веселья, и она принимает мнимое за подлинное, мишуру - за настоящее сияние счастья.",7.2,Драма,1982,"71 мин.
                                                    ",СССР
35,Мой друг мистер Персиваль,"Язык доброты понимают не только люди, но и животные. В детстве Майкл выходил трех птенцов-пеликанов, один из них стал ему другом. Однако идиллию нарушила человеческая жестокость к окружающей среде. Спустя годы мужчина вновь оказывается перед непростым выбором. Семейный бизнес, которым руководит его зять, угрожает местной фауне. Помочь природе предстоит герою и его внучке.",7.2,Приключения,2019,"99 мин.
                                                    ",Австралия
36,Храбрая принцесса,"Вачаган, молодой царь небольшой страны, задумал жениться. Но не на первой встречной, а на самой красивой, умной, верной и доброй девушке. Так он встретил дочь пастуха Анаит, которая согласилась стать женой царя при одном условии. Истории большой любви мешает лишь одно обстоятельство — кое-кто мечтает свергнуть Вачагана с трона и установить власть Темных сил.",7.2,Мультфильм,2022,"87 мин.
                                                    ",Армения
37,Гордость и предубеждение,"В георгианской Англии семья Беннет растит пятерых дочерей, и нужно бы выдать их замуж за богачей, чтобы они могли содержать семью. Когда богатый холостяк мистер Бингли и его лучший друг мистер Дарси приезжают в городок провести лето в близлежащем замке, застенчивая красавица Джейн влюбляется в Бингли, а Лиззи находит господина Дарси высокомерным снобом и дает зарок ненавидеть его всю жизнь…",7.2,Мелодрама,2005,"122 мин.
                                                    ",Франция
38,Диди,"Дружные зверята встречают в лесу незнакомого малыша с удивительной силой – он может управлять растениями. Всё вокруг него зеленеет и цветёт! Но при этом он остаётся любознательным ребёнком, который только начинает открывать большой мир. Волшебный герой по имени Диди узнаёт, что такое дружба, приключения и настоящий дом.
 Добрый и весёлый развивающий мультфильм из Беларуси «Диди» можно смотреть онлайн.",7.2,Мультфильм,2021,"17 мин.
                                                    ",Беларусь
39,Другие,"1945 год. Молодая женщина живёт в уединенном старом доме с двумя детьми, которым нельзя находиться на ярком свету, и поэтому все шторы в доме всегда закрыты. Вскоре одиночество матери и детей прерывается появлением новой прислуги. С этого дня в имении начинают происходить странные вещи - кто-то передвигает мебель в пустых комнатах, запирает открытые двери и открывает закрытые шторы...",7.2,Ужасы,2001,"101 мин.
                                                    ",США
40,Реальная любовь,"Судьбы и любовные романы нескольких лондонцев сталкиваются, перемешиваются и достигают апогея в канун Рождества — снова и снова — что приводит к романтическим, веселым и горестно-радостным последствиях для всех, кому повезло или не повезло подпасть под чары любви. Ведь она поистине правит всеми вокруг.",7.2,Мелодрама,2003,"130 мин.
                                                    ",США
41,Ты у меня одна,"Анна полюбила друга своего старшего брата и даже уехав в Америку не смогла его забыть. Прошло 20 лет. Анна как представитель американской компании приезжает в Питер. Только её главная цель увидеть «дядю Женю». Неожиданно для неё он оказывается сотрудником того самого завода, куда она приехала...",7.2,Мелодрама,1993,"94 мин.
                                                    ",Россия
42,Анора,"Комедия Шона Бейкера, победившая в пяти категориях «Оскара»: «Лучший фильм», «Лучший режиссер», «Лучший оригинальный сценарий», «Лучшая женская роль» и «Лучший монтаж». Красотка Анора — или, как она себя называет, Эни — танцует в стрип-клубе в Бруклине. Благодаря знанию русского языка она знакомится с Ваней — молодым парнем из России, который прожигает в Штатах деньги отца-олигарха. Случайная встреча оборачивается настоящей историей Золушки: спустя пару недель Иван женится на Эни. Но родители импульсивного золотого мальчика готовы на все, чтобы аннулировать неприглядный брак.",7.2,Драма,2024,"139 мин.
                                                    ",США
43,Мой пес Руни,"В жизни Мин Су две привязанности: золотистый ретривер по кличке Руни и любимая девушка. Каково же оказывается разочарование юноши, когда он узнаёт, что у нее аллергия на собачью слюну. Мин Су хочет жениться и принимает непростое решение — отдать Руни в добрые руки. Но во время поисков нового дома для пса его хозяин неожиданно находит еще больше животных, которые нуждаются в любви и домашнем тепле.",7.2,Семейные,2023,"113 мин.
                                                    ",Южная Корея
44,Сэм: Песочный эльф,"Две семьи вместе с детьми едут отдохнуть за город. На пляже девочки Рос и Мэш и их младшие брат и сестра знакомятся с песочным эльфом по имени Сэм. Оказывается, новому другу под силу исполнить любое желание. Подростки увлекаются возможностью стать популярными, лазить по скалам и летать и не сразу понимают, что волшебному существу угрожает опасность. Многие годы Сэма выслеживает ненасытный коллекционер Тристан.",7.2,Семейные,2019,"100 мин.
                                                    ",Великобритания
45,Соленый пес,"На одном из островов одного из тёплых морей ощенилась приблудная дворняжка. Суровый хозяин ликвидировал собаку и щенков. Но один из щенков чудом уцелел, не замеченный человеком. Рыжий щенок отважно переплыл залив и оказался в многолюдном городе.

Так как он был один на белом свете, то ему было всё равно, за кем пойти. И он пошёл за первым человеком, сказавшим ему доброе слово. А человеком этим оказался матрос Мартьямов с русского судна «Алексей Толстой»...",7.2,Драма,1973,"68 мин.
                                                    ",СССР
46,Плохой хороший человек,"Мучимый никчемностью и скукой жизни, чиновник Лаевский жаждет любой ценой разорвать порочный круг своего существования. Его нравственный антипод, натуралист Фон Корен, уверен, что люди, подобные Лаевскому, достойны уничтожения. Но, вопреки желаниям и воле героев, провидение по-своему распоряжается их судьбами...",7.2,Драма,1973,"100 мин.
                                                    ",СССР
47,Кадкина всякий знает,"После войны возвращается домой Кузьма Кадкин - живой, здоровый, но не один, а с ребенком. Растерянно объявляет он, что на последнем перегоне отстала от поезда мать младенца. Никто не верит Кадкину - ни односельчане, ни собственные дети. Но меньше всех, конечно, жена...",7.2,Мелодрама,1976,"79 мин.
                                                    ",СССР
48,Здравствуй и прощай,"Трогательная история любви молодой женщины, которую с тремя детьми бросил муж, а сам уехал в город искать «смысл жизни» и пропал в поисках лучшей доли, и участкового милиционера, человека положительного во всех отношениях. Он сумел растопить сердце женщины и вернуть ей веру в любовь. Только появилась надежда на новую жизнь и семейное счастье, как в деревню возвращается непутевый муж…",7.2,Мелодрама,1972,"95 мин.
                                                    ",СССР
49,Женитьба,"Поддавшись уговорам приятеля, надворный советник Подколесин сватается к купеческой дочери. Но перед венчанием в самый последний момент горе-жених спасается бегством.",7.2,Комедии,1977,"99 мин.
                                                    ",СССР
50,Евгений Онегин,Фильм-опера по одноименному роману в стихах А.С.Пушкина и опере П.И.Чайковского. Болезнь дядюшки вынуждает дворянина Евгения Онегина покинуть Петербург и отправиться к одру больного...,7.2,Драма,1958,"108 мин.
                                                    ",СССР
51,Трижды о любви,"Колхозный шофер Василий Лобанов возвращается из армии и узнает, что его любимая вышла замуж. Ему предстоит не только осознать случившееся, но и выбрать подходящую себе невесту по собственной системе.",7.2,Драма,1981,"89 мин.
                                                    ",СССР
52,Тень,"Учёный по имени Христиан-Теодор приезжает в незнакомую волшебную страну, где встречает принцессу и влюбляется в неё. Он просит свою тень отыскать девушку. Тень, покинув своего умного и доброго хозяина, превращается в лживое, изворотливое и жестокое существо по имени Теодор-Христиан. Тем временем, ученый заболевает. А Теодор-Христиан решает жениться на принцессе и стать правителем этой сказочной страны. Но для этого нужно рассорить своего бывшего хозяина с принцессой.",7.2,Драма,1971,"92 мин.
                                                    ",СССР
53,Старик Хоттабыч,"12-летний московский школьник Волька, купаясь в Москве-реке, находит какой-то древний запечатанный сосуд. Мальчишеское любопытство настолько сильно, что при первом же удобном случае Волька вскрывает его, и из сосуда появляется сказочный джинн — Гассан Абдурахман ибн Хоттаб. 

За то, что Волька спас его от тысячелетнего заточения, джинн, прозванный мальчиком Хоттабычем, становится его верным слугой. Он пытается задарить мальчика, пригнав к его дому целый караван верблюдов с несметными сокровищами. Вместе они совершат увлекательный полёт в Индию на волшебном ковре-самолёте.",7.2,Приключения,1956,"86 мин.
                                                    ",СССР
54,Новогодние приключения Маши и Вити,"Они такие разные - младшеклассники Витя, верящий только в технику, и Маша, верящая в чудеса. Вместе с другими ребятами они украшают ёлку, но Дед Мороз поведал им, что Снегурочку похитил Кащей, чтобы устроить Новый год для своей нечисти. Маша и Витя с помощью Дед-Мороза отправляются в сказку на помощь Снегурочке. Кащей, узнав об этом, посылает им навстречу нечистую силу - вокально-инструментальную троицу «Дикие гитары»: Бабу-Ягу, Лешего и Дикого Кота Матвея.",7.2,Фэнтези,1975,"71 мин.
                                                    ",СССР
